mturk,private,lon,ses,round,gameperiod,group,type,subject,payperiod,paygame,k,urn,q1,q2,q3,q4,guess,guess2,orange,rt,rt2,unique
0,0,0,171010_1149,1,16,3,3,8,13,2,.98318744,2,,,,,.89999998,,1,23,,1008
0,0,0,171010_1149,1,16,4,1,6,8,2,.54433078,1,,,,,0,,1,10,,1006
0,0,0,171010_1149,1,16,4,2,12,13,1,.23069778,1,,,,,0,,1,28,,1012
0,0,0,171010_1149,1,16,4,3,4,17,5,.57267815,1,,,,,1,,1,28,,1004
0,0,0,171010_1149,1,16,5,1,11,17,5,.32637706,1,,,,,1,,1,26,,1011
0,0,0,171010_1149,1,16,5,2,9,15,2,.91650194,1,,,,,0,,1,25,,1009
0,0,0,171010_1149,1,16,5,3,15,7,1,.81517345,1,,,,,.81,,1,26,,1015
0,0,0,171010_1149,1,17,1,1,3,21,1,.050432529,1,,,,,.89999998,,1,26,,1003
0,0,0,171010_1149,1,17,1,2,5,7,2,.34699857,1,,,,,1,,1,26,,1005
0,0,0,171010_1149,1,17,1,3,14,28,2,.88447332,1,,,,,.93000001,,1,16,,1014
0,0,0,171010_1149,1,17,2,1,13,5,5,.11806634,2,,,,,.60000002,,0,22,,1013
0,0,0,171010_1149,1,17,2,2,2,2,5,.34276125,2,,,,,0,,0,14,,1002
0,0,0,171010_1149,1,17,2,3,7,27,3,.34091839,2,,,,,.5,,0,24,,1007
0,0,0,171010_1149,1,17,3,1,16,13,4,.99454165,2,,,,,.50999999,,0,25,,1016
0,0,0,171010_1149,1,17,3,2,10,19,2,.01061463,2,,,,,.60000002,,0,24,,1010
0,0,0,171010_1149,1,17,3,3,8,13,2,.98318744,2,,,,,.5,,0,19,,1008
0,0,0,171010_1149,1,17,4,1,6,8,2,.54433078,1,,,,,0,,0,26,,1006
0,0,0,171010_1149,1,17,4,2,12,13,1,.23069778,1,,,,,0,,0,25,,1012
0,0,0,171010_1149,1,17,4,3,4,17,5,.57267815,1,,,,,0,,0,28,,1004
0,0,0,171010_1149,1,17,5,1,11,17,5,.32637706,1,,,,,1,,1,25,,1011
0,0,0,171010_1149,1,17,5,2,9,15,2,.91650194,1,,,,,0,,1,27,,1009
0,0,0,171010_1149,1,17,5,3,15,7,1,.81517345,1,,,,,.81,,1,20,,1015
0,0,0,171010_1149,1,18,1,1,3,21,1,.050432529,1,,,,,.89999998,,1,25,,1003
0,0,0,171010_1149,1,18,1,2,5,7,2,.34699857,1,,,,,1,,1,27,,1005
0,0,0,171010_1149,1,18,1,3,14,28,2,.88447332,1,,,,,.94,,1,25,,1014
0,0,0,171010_1149,1,18,2,1,13,5,5,.11806634,2,,,,,.69999999,,0,16,,1013
0,0,0,171010_1149,1,18,2,2,2,2,5,.34276125,2,,,,,0,,0,29,,1002
0,0,0,171010_1149,1,18,2,3,7,27,3,.34091839,2,,,,,.5,,0,26,,1007
0,0,0,171010_1149,1,18,3,1,16,13,4,.99454165,2,,,,,.50999999,,1,23,,1016
0,0,0,171010_1149,1,18,3,2,10,19,2,.01061463,2,,,,,.89999998,,1,23,,1010
0,0,0,171010_1149,1,18,3,3,8,13,2,.98318744,2,,,,,1,,1,-5,,1008
0,0,0,171010_1149,1,18,4,1,6,8,2,.54433078,1,,,,,.69999999,,1,13,,1006
0,0,0,171010_1149,1,18,4,2,12,13,1,.23069778,1,,,,,1,,1,22,,1012
0,0,0,171010_1149,1,18,4,3,4,17,5,.57267815,1,,,,,1,,1,27,,1004
0,0,0,171010_1149,1,18,5,1,11,17,5,.32637706,1,,,,,1,,0,27,,1011
0,0,0,171010_1149,1,18,5,2,9,15,2,.91650194,1,,,,,.5,,0,25,,1009
0,0,0,171010_1149,1,18,5,3,15,7,1,.81517345,1,,,,,1,,0,18,,1015
0,0,0,171010_1149,1,19,1,1,3,21,1,.050432529,1,,,,,.1,,0,16,,1003
0,0,0,171010_1149,1,19,1,2,5,7,2,.34699857,1,,,,,.80000001,,0,24,,1005
0,0,0,171010_1149,1,19,1,3,14,28,2,.88447332,1,,,,,.86000001,,0,22,,1014
0,0,0,171010_1149,1,19,2,1,13,5,5,.11806634,2,,,,,.69999999,,0,22,,1013
0,0,0,171010_1149,1,19,2,2,2,2,5,.34276125,2,,,,,0,,0,26,,1002
